Metric,Value
Total Releases,484
Releases in 2021,4
Releases in 2022,19
Releases in 2023,44
Releases in 2024,122
Releases in 2025,295
Releases in 2021-10,4
Releases in 2022-03,1
Releases in 2022-10,1
Releases in 2022-11,12
Releases in 2022-12,5
Releases in 2023-01,2
Releases in 2023-02,16
Releases in 2023-03,2
Releases in 2023-04,4
Releases in 2023-05,1
Releases in 2023-07,3
Releases in 2023-12,16
Releases in 2024-01,18
Releases in 2024-02,10
Releases in 2024-05,4
Releases in 2024-07,44
Releases in 2024-08,23
Releases in 2024-09,16
Releases in 2024-10,1
Releases in 2024-11,2
Releases in 2024-12,4
Releases in 2025-01,5
Releases in 2025-02,60
Releases in 2025-03,50
Releases in 2025-04,82
Releases in 2025-05,88
Releases in 2025-06,10
Releases in 2021-W41,4
Releases in 2022-W10,1
Releases in 2022-W40,1
Releases in 2022-W46,2
Releases in 2022-W47,8
Releases in 2022-W48,2
Releases in 2022-W49,5
Releases in 2023-W03,2
Releases in 2023-W06,6
Releases in 2023-W07,5
Releases in 2023-W08,5
Releases in 2023-W10,2
Releases in 2023-W15,1
Releases in 2023-W16,2
Releases in 2023-W17,1
Releases in 2023-W21,1
Releases in 2023-W27,1
Releases in 2023-W29,1
Releases in 2023-W31,1
Releases in 2023-W48,1
Releases in 2023-W51,15
Releases in 2024-W03,2
Releases in 2024-W04,2
Releases in 2024-W05,14
Releases in 2024-W07,10
Releases in 2024-W21,3
Releases in 2024-W22,1
Releases in 2024-W28,2
Releases in 2024-W30,30
Releases in 2024-W31,14
Releases in 2024-W32,5
Releases in 2024-W33,15
Releases in 2024-W34,1
Releases in 2024-W36,10
Releases in 2024-W37,1
Releases in 2024-W39,5
Releases in 2024-W43,1
Releases in 2024-W45,1
Releases in 2024-W47,1
Releases in 2024-W51,4
Releases in 2025-W04,5
Releases in 2025-W07,3
Releases in 2025-W08,25
Releases in 2025-W09,32
Releases in 2025-W10,14
Releases in 2025-W11,25
Releases in 2025-W12,8
Releases in 2025-W13,3
Releases in 2025-W15,3
Releases in 2025-W16,18
Releases in 2025-W17,30
Releases in 2025-W18,39
Releases in 2025-W19,9
Releases in 2025-W20,3
Releases in 2025-W21,13
Releases in 2025-W22,55
Releases in 2025-W23,10
Releases in 2021-10-15,4
Releases in 2022-03-10,1
Releases in 2022-10-07,1
Releases in 2022-11-18,2
Releases in 2022-11-24,4
Releases in 2022-11-25,4
Releases in 2022-11-29,2
Releases in 2022-12-08,3
Releases in 2022-12-09,2
Releases in 2023-01-18,2
Releases in 2023-02-09,6
Releases in 2023-02-13,2
Releases in 2023-02-14,1
Releases in 2023-02-17,2
Releases in 2023-02-20,3
Releases in 2023-02-21,1
Releases in 2023-02-23,1
Releases in 2023-03-09,1
Releases in 2023-03-10,1
Releases in 2023-04-14,1
Releases in 2023-04-19,2
Releases in 2023-04-25,1
Releases in 2023-05-23,1
Releases in 2023-07-05,1
Releases in 2023-07-17,1
Releases in 2023-07-31,1
Releases in 2023-12-01,1
Releases in 2023-12-22,15
Releases in 2024-01-16,2
Releases in 2024-01-22,1
Releases in 2024-01-23,1
Releases in 2024-01-29,1
Releases in 2024-01-30,13
Releases in 2024-02-13,10
Releases in 2024-05-22,2
Releases in 2024-05-24,1
Releases in 2024-05-28,1
Releases in 2024-07-09,2
Releases in 2024-07-22,14
Releases in 2024-07-23,1
Releases in 2024-07-24,1
Releases in 2024-07-25,14
Releases in 2024-07-31,12
Releases in 2024-08-02,2
Releases in 2024-08-08,5
Releases in 2024-08-14,15
Releases in 2024-08-21,1
Releases in 2024-09-03,10
Releases in 2024-09-11,1
Releases in 2024-09-26,5
Releases in 2024-10-23,1
Releases in 2024-11-08,1
Releases in 2024-11-19,1
Releases in 2024-12-18,4
Releases in 2025-01-22,5
Releases in 2025-02-14,3
Releases in 2025-02-19,17
Releases in 2025-02-20,8
Releases in 2025-02-24,1
Releases in 2025-02-25,31
Releases in 2025-03-04,8
Releases in 2025-03-05,6
Releases in 2025-03-10,7
Releases in 2025-03-14,18
Releases in 2025-03-18,8
Releases in 2025-03-25,1
Releases in 2025-03-27,2
Releases in 2025-04-07,1
Releases in 2025-04-09,2
Releases in 2025-04-17,9
Releases in 2025-04-18,9
Releases in 2025-04-22,18
Releases in 2025-04-23,10
Releases in 2025-04-24,2
Releases in 2025-04-28,29
Releases in 2025-04-29,2
Releases in 2025-05-02,8
Releases in 2025-05-08,9
Releases in 2025-05-12,1
Releases in 2025-05-15,2
Releases in 2025-05-19,9
Releases in 2025-05-21,4
Releases in 2025-05-29,33
Releases in 2025-05-30,22
Releases in 2025-06-02,10
Total Releases for daangn/seed-design,327
Total Releases for daangn/stackflow,157
Average Days Between Releases,3.62